"Gridcode","species"
101622,"Rhinoceros unicornis"
101622,"Rhinolophus ferrumequinum"
101622,"Myotis nipalensis"
101622,"Barbastella leucomelas"
101622,"Myotis muricola"
101622,"Murina huttoni"
101622,"Cynopterus sphinx"
101622,"Pipistrellus coromandra"
101622,"Hemitragus jemlahicus"
101622,"Equus kiang"
101622,"Ochotona macrotis"
101622,"Ochotona roylii"
101622,"Lepus oiostolus"
101622,"Mustela altaica"
101622,"Vulpes ferrilata"
101622,"Panthera uncia"
101622,"Pseudois nayaur"
101622,"Cuon alpinus"
101622,"Barbastella darjelingensis"
101622,"Plecotus wardi"
101622,"Alticola stoliczkanus"
101622,"Urocricetus alticola"
101622,"Marmota himalayana"
101622,"Niviventer fulvescens"
101622,"Rattus tanezumi"
101622,"Rattus pyctoris"
101622,"Lynx lynx"
101622,"Crocidura attenuata"
101622,"Ochotona curzoniae"
101622,"Ursus thibetanus"
101622,"Otocolobus manul"
101622,"Apodemus pallipes"
101622,"Vulpes vulpes"
101622,"Mus musculus"
101622,"Felis chaus"
101622,"Prionailurus bengalensis"
101622,"Catopuma temminckii"
101622,"Canis lupus"
101622,"Canis lupus ssp. chanco"
101622,"Martes foina"
101622,"Mustela sibirica"
101622,"Paguma larvata"
101622,"Paradoxurus hermaphroditus"
101623,"Macaca assamensis"
101623,"Macaca assamensis ssp. pelops"
101623,"Rhinoceros unicornis"
101623,"Rhinolophus ferrumequinum"
101623,"Myotis nipalensis"
101623,"Barbastella leucomelas"
101623,"Myotis muricola"
101623,"Murina huttoni"
101623,"Cynopterus sphinx"
101623,"Pipistrellus coromandra"
101623,"Equus kiang"
101623,"Ochotona macrotis"
101623,"Ochotona roylii"
101623,"Lepus oiostolus"
101623,"Mustela altaica"
101623,"Vulpes ferrilata"
101623,"Panthera uncia"
101623,"Pseudois nayaur"
101623,"Cuon alpinus"
101623,"Barbastella darjelingensis"
101623,"Plecotus wardi"
101623,"Plecotus homochrous"
101623,"Alticola stoliczkanus"
101623,"Urocricetus alticola"
101623,"Marmota himalayana"
101623,"Niviventer fulvescens"
101623,"Rattus tanezumi"
101623,"Rattus pyctoris"
101623,"Lynx lynx"
101623,"Crocidura attenuata"
101623,"Ochotona curzoniae"
101623,"Ursus thibetanus"
101623,"Otocolobus manul"
101623,"Apodemus pallipes"
101623,"Vulpes vulpes"
101623,"Mus musculus"
101623,"Felis chaus"
101623,"Prionailurus bengalensis"
101623,"Catopuma temminckii"
101623,"Canis lupus"
101623,"Canis lupus ssp. chanco"
101623,"Martes foina"
101623,"Mustela sibirica"
101623,"Paguma larvata"
101624,"Macaca assamensis"
101624,"Macaca assamensis ssp. pelops"
101624,"Rhinoceros unicornis"
101624,"Rhinolophus ferrumequinum"
101624,"Myotis nipalensis"
101624,"Barbastella leucomelas"
101624,"Myotis muricola"
101624,"Murina huttoni"
101624,"Cynopterus sphinx"
101624,"Pipistrellus coromandra"
101624,"Equus kiang"
101624,"Ochotona macrotis"
101624,"Ochotona roylii"
101624,"Lepus oiostolus"
101624,"Mustela altaica"
101624,"Vulpes ferrilata"
101624,"Panthera uncia"
101624,"Pseudois nayaur"
101624,"Cuon alpinus"
101624,"Barbastella darjelingensis"
101624,"Plecotus wardi"
101624,"Plecotus homochrous"
101624,"Alticola stoliczkanus"
101624,"Urocricetus alticola"
101624,"Marmota himalayana"
101624,"Rattus tanezumi"
101624,"Rattus pyctoris"
101624,"Lynx lynx"
