"Gridcode","species"
101609,"Hemisteptia lyrata"
101609,"Nymphaea pubescens"
101609,"Limnophila rugosa"
101609,"Hydrolea zeylanica"
101609,"Aeschynomene aspera"
101609,"Caesulia axillaris"
101609,"Hygrophila polysperma"
101609,"Hydrobryum griffithii"
101609,"Eclipta angustata"
101609,"Limnophila micrantha"
101609,"Bacopa monnieri"
101609,"Medicago sativa"
101609,"Pistacia khinjuk"
101609,"Podophyllum hexandrum"
101609,"Limnophila indica"
101609,"Grangea maderaspatana"
101609,"Sesbania bispinosa"
101609,"Nardostachys jatamansi"
101609,"Centella asiatica"
101609,"Alternanthera sessilis"
101609,"Aeschynomene indica"
101609,"Nymphaea nouchali"
101609,"Arnebia benthamii"
101609,"Rheum australe"
101610,"Lindernia procumbens"
101610,"Limnophila sessiliflora"
101610,"Bonnaya antipoda"
101610,"Oenanthe javanica"
101610,"Drosera peltata"
101610,"Vandellia micrantha"
101610,"Hemisteptia lyrata"
101610,"Nymphaea pubescens"
101610,"Limnophila rugosa"
101610,"Hydrolea zeylanica"
101610,"Aeschynomene aspera"
101610,"Caesulia axillaris"
101610,"Hygrophila polysperma"
101610,"Hydrobryum griffithii"
101610,"Eclipta angustata"
101610,"Limnophila micrantha"
101610,"Bacopa monnieri"
101610,"Medicago sativa"
101610,"Pistacia khinjuk"
101610,"Podophyllum hexandrum"
101610,"Limnophila indica"
101610,"Grangea maderaspatana"
101610,"Sesbania bispinosa"
101610,"Nardostachys jatamansi"
101610,"Centella asiatica"
101610,"Alternanthera sessilis"
101610,"Aeschynomene indica"
101610,"Nymphaea nouchali"
101610,"Arnebia benthamii"
101610,"Rheum australe"
101611,"Lindernia procumbens"
101611,"Limnophila sessiliflora"
101611,"Bonnaya antipoda"
101611,"Oenanthe javanica"
101611,"Drosera peltata"
101611,"Vandellia micrantha"
101611,"Hemisteptia lyrata"
101611,"Nymphaea pubescens"
101611,"Limnophila rugosa"
101611,"Hydrolea zeylanica"
101611,"Aeschynomene aspera"
101611,"Caesulia axillaris"
101611,"Hygrophila polysperma"
101611,"Hydrobryum griffithii"
101611,"Eclipta angustata"
101611,"Limnophila micrantha"
101611,"Bacopa monnieri"
101611,"Medicago sativa"
101611,"Pistacia khinjuk"
101611,"Podophyllum hexandrum"
101611,"Limnophila indica"
101611,"Grangea maderaspatana"
101611,"Sesbania bispinosa"
101611,"Nardostachys jatamansi"
101611,"Centella asiatica"
101611,"Alternanthera sessilis"
101611,"Aeschynomene indica"
101611,"Nymphaea nouchali"
101611,"Arnebia benthamii"
101611,"Rheum australe"
101612,"Lindernia procumbens"
101612,"Limnophila sessiliflora"
101612,"Bonnaya antipoda"
101612,"Oenanthe javanica"
101612,"Drosera peltata"
101612,"Vandellia micrantha"
101612,"Hemisteptia lyrata"
101612,"Nymphaea pubescens"
101612,"Limnophila rugosa"
101612,"Hydrolea zeylanica"
101612,"Aeschynomene aspera"
101612,"Caesulia axillaris"
101612,"Hygrophila polysperma"
101612,"Hydrobryum griffithii"
101612,"Eclipta angustata"
101612,"Limnophila micrantha"
101612,"Bacopa monnieri"
101612,"Medicago sativa"
101612,"Pistacia khinjuk"
101612,"Podophyllum hexandrum"
101612,"Limnophila indica"
101612,"Grangea maderaspatana"
101612,"Sesbania bispinosa"
101612,"Nardostachys jatamansi"
101612,"Centella asiatica"
101612,"Alternanthera sessilis"
101612,"Aeschynomene indica"
101612,"Nymphaea nouchali"
101612,"Arnebia benthamii"
101612,"Rheum australe"
101613,"Lindernia procumbens"
101613,"Limnophila sessiliflora"
101613,"Bonnaya antipoda"
101613,"Oenanthe javanica"
101613,"Drosera peltata"
101613,"Vandellia micrantha"
101613,"Hemisteptia lyrata"
101613,"Nymphaea pubescens"
101613,"Limnophila rugosa"
101613,"Hydrolea zeylanica"
101613,"Aeschynomene aspera"
101613,"Caesulia axillaris"
101613,"Hygrophila polysperma"
101613,"Hydrobryum griffithii"
101613,"Eclipta angustata"
101613,"Limnophila micrantha"
101613,"Bacopa monnieri"
101613,"Medicago sativa"
